english,chinese,pos,example,tags
pedantic,"卖弄学问的; 迂腐的",adjective,"His pedantic comments slowed the meeting.",gre;starter
perfunctory,"敷衍的; 草率的",adjective,"The review felt perfunctory and rushed.",gre;starter
pervasive,"普遍存在的; 弥漫的",adjective,"The problem was pervasive across teams.",gre;starter
placate,"安抚; 平息",verb,"The manager tried to placate the customer.",gre;starter
plausible,"貌似可信的; 合理的",adjective,"She offered a plausible explanation.",gre;starter
pragmatic,"务实的; 实际的",adjective,"The proposal took a pragmatic approach.",gre;starter
precipitate,"促成; 仓促的",verb,"The announcement may precipitate debate.",gre;starter
prodigal,"挥霍的; 浪费的",adjective,"The prodigal plan exhausted the budget.",gre;starter
prolific,"多产的; 丰富的",adjective,"The researcher was prolific for decades.",gre;starter
prosaic,"平凡的; 乏味的",adjective,"The task was prosaic but necessary.",gre;starter
quixotic,"不切实际的; 空想的",adjective,"The quixotic project ignored constraints.",gre;starter
recalcitrant,"不服从的; 顽抗的",adjective,"The recalcitrant system resisted updates.",gre;starter
reticent,"沉默的; 不愿透露的",adjective,"She was reticent about the results.",gre;starter
salient,"显著的; 突出的",adjective,"The salient point appeared in the conclusion.",gre;starter
sanction,"批准; 制裁",noun,"The board gave its sanction to the plan.",gre;starter
scrupulous,"谨慎的; 一丝不苟的",adjective,"A scrupulous editor checked every citation.",gre;starter
sporadic,"零星的; 偶发的",adjective,"Sporadic errors appeared during testing.",gre;starter
spurious,"虚假的; 伪造的",adjective,"The team rejected the spurious claim.",gre;starter
stolid,"冷静的; 不动感情的",adjective,"He remained stolid during the crisis.",gre;starter
substantiate,"证实; 证明",verb,"The data helped substantiate the theory.",gre;starter
succinct,"简洁的; 简明的",adjective,"Her succinct summary saved time.",gre;starter
tenacious,"坚韧的; 固执的",adjective,"The tenacious student revised the paper.",gre;starter
truculent,"好斗的; 粗暴的",adjective,"The comment had a truculent tone.",gre;starter
ubiquitous,"无处不在的",adjective,"Smartphones are ubiquitous in cities.",gre;starter
vacillate,"犹豫; 摇摆不定",verb,"The committee continued to vacillate.",gre;starter
venerate,"尊敬; 崇敬",verb,"The community venerated the teacher.",gre;starter
verbose,"冗长的; 啰嗦的",adjective,"The verbose memo needed editing.",gre;starter
vindicate,"证明无辜; 证明正确",verb,"The evidence vindicated her decision.",gre;starter
volatile,"易变的; 不稳定的",adjective,"The market remained volatile all week.",gre;starter
wary,"谨慎的; 警惕的",adjective,"Investors were wary of the rumor.",gre;starter
zealous,"热心的; 积极的",adjective,"The zealous volunteer organized the event.",gre;starter
abstemious,"有节制的; 节俭的",adjective,"Her abstemious habits reduced waste.",gre;starter
adulterate,"掺假; 降低质量",verb,"Cheap fillers can adulterate the product.",gre;starter
advocate,"提倡; 支持者",verb,"They advocate transparent governance.",gre;starter
aggrandize,"扩大; 增强权势",verb,"The ruler sought to aggrandize his domain.",gre;starter
alleviate,"减轻; 缓解",verb,"The medicine may alleviate pain.",gre;starter
amalgamate,"合并; 融合",verb,"The firms chose to amalgamate operations.",gre;starter
ambiguous,"模糊的; 有歧义的",adjective,"The ambiguous phrase caused confusion.",gre;starter
animosity,"敌意; 怨恨",noun,"The debate revealed old animosity.",gre;starter
antithetical,"对立的; 相反的",adjective,"The policy was antithetical to fairness.",gre;starter
apocryphal,"真伪可疑的",adjective,"The apocryphal story spread quickly.",gre;starter
approbation,"赞许; 认可",noun,"The design received broad approbation.",gre;starter
arbitrary,"任意的; 武断的",adjective,"The cutoff seemed arbitrary.",gre;starter
ascetic,"禁欲的; 苦行的",adjective,"The ascetic routine left little comfort.",gre;starter
attenuate,"削弱; 变细",verb,"Distance can attenuate the signal.",gre;starter
avarice,"贪婪",noun,"Avarice drove the corrupt scheme.",gre;starter
belie,"掩饰; 与事实不符",verb,"Her calm voice belied her anxiety.",gre;starter
benign,"良性的; 仁慈的",adjective,"The change had a benign effect.",gre;starter
buttress,"支持; 加固",verb,"New evidence buttressed the argument.",gre;starter
cacophony,"刺耳杂音",noun,"A cacophony filled the station.",gre;starter
circumspect,"谨慎的; 周到的",adjective,"A circumspect response avoided conflict.",gre;starter
coalesce,"合并; 联合",verb,"The ideas began to coalesce.",gre;starter
commensurate,"相称的; 成比例的",adjective,"Pay should be commensurate with responsibility.",gre;starter
complacent,"自满的; 满足现状的",adjective,"A complacent team may miss risks.",gre;starter
concede,"承认; 让步",verb,"She conceded the minor point.",gre;starter
construe,"解释; 理解",verb,"Readers may construe the sentence differently.",gre;starter
contentious,"有争议的; 好争吵的",adjective,"The contentious rule was revised.",gre;starter
corroborate,"证实; 支持",verb,"Witnesses corroborated the account.",gre;starter
deference,"尊重; 顺从",noun,"He spoke with deference to the panel.",gre;starter
deleterious,"有害的",adjective,"The chemical had deleterious effects.",gre;starter
deride,"嘲笑; 嘲弄",verb,"Critics derided the weak argument.",gre;starter
didactic,"说教的; 教导性的",adjective,"The novel sometimes felt didactic.",gre;starter
diffident,"缺乏自信的; 羞怯的",adjective,"The diffident speaker avoided eye contact.",gre;starter
disparate,"迥异的; 不同的",adjective,"The project combined disparate sources.",gre;starter
dogmatic,"教条的; 武断的",adjective,"The dogmatic rule left no exceptions.",gre;starter
ebullient,"热情洋溢的; 兴高采烈的",adjective,"The ebullient crowd cheered loudly.",gre;starter
eclectic,"兼收并蓄的; 折中的",adjective,"Her reading list was eclectic.",gre;starter
efficacy,"效力; 功效",noun,"The trial measured the drug's efficacy.",gre;starter
egregious,"极坏的; 惊人的",adjective,"The report found egregious errors.",gre;starter
enervate,"削弱; 使无力",verb,"The long delay enervated the team.",gre;starter
ephemeral,"短暂的; 转瞬即逝的",adjective,"The trend proved ephemeral.",gre;starter
equivocal,"模棱两可的; 可疑的",adjective,"The evidence was equivocal.",gre;starter
erudite,"博学的",adjective,"The erudite lecture impressed students.",gre;starter
esoteric,"深奥的; 小众的",adjective,"The manual used esoteric terms.",gre;starter
exacerbate,"加剧; 恶化",verb,"Poor planning can exacerbate delays.",gre;starter
exculpate,"开脱; 证明无罪",verb,"The recording helped exculpate the suspect.",gre;starter
exigent,"紧急的; 迫切的",adjective,"The exigent deadline required focus.",gre;starter
fallacious,"谬误的; 虚假的",adjective,"The fallacious reasoning misled readers.",gre;starter
fastidious,"挑剔的; 一丝不苟的",adjective,"The fastidious designer adjusted every detail.",gre;starter
fervent,"热烈的; 强烈的",adjective,"She made a fervent appeal.",gre;starter
florid,"华丽的; 过分修饰的",adjective,"The florid prose distracted readers.",gre;starter
garrulous,"喋喋不休的",adjective,"The garrulous guest dominated dinner.",gre;starter
gregarious,"合群的; 爱社交的",adjective,"The gregarious student joined every club.",gre;starter
hackneyed,"陈腐的; 老套的",adjective,"The essay relied on hackneyed phrases.",gre;starter
iconoclast,"反传统者",noun,"The iconoclast challenged old assumptions.",gre;starter
impecunious,"贫困的; 缺钱的",adjective,"The impecunious artist shared a studio.",gre;starter
impetuous,"冲动的; 鲁莽的",adjective,"An impetuous decision caused trouble.",gre;starter
inchoate,"刚开始的; 未成形的",adjective,"The inchoate plan needed structure.",gre;starter
ingenuous,"天真的; 坦率的",adjective,"Her ingenuous question clarified the issue.",gre;starter
inimical,"有害的; 敌对的",adjective,"The rule was inimical to innovation.",gre;starter
insipid,"乏味的; 平淡的",adjective,"The insipid speech lacked examples.",gre;starter
intrepid,"无畏的; 勇敢的",adjective,"The intrepid reporter entered the site.",gre;starter
intransigent,"不妥协的",adjective,"The intransigent negotiator blocked progress.",gre;starter
laconic,"简短的; 寡言的",adjective,"His laconic reply ended the discussion.",gre;starter
laudable,"值得赞扬的",adjective,"The goal was laudable and realistic.",gre;starter
loquacious,"健谈的; 多话的",adjective,"The loquacious host kept talking.",gre;starter
magnanimous,"宽宏大量的",adjective,"The magnanimous winner praised her rival.",gre;starter
malleable,"可塑的; 易受影响的",adjective,"The material was malleable when heated.",gre;starter
mendacious,"虚假的; 爱撒谎的",adjective,"The mendacious claim collapsed under review.",gre;starter
mercurial,"善变的; 反复无常的",adjective,"The mercurial leader changed plans daily.",gre;starter
meticulous,"细致的; 一丝不苟的",adjective,"The meticulous analyst checked each value.",gre;starter
mundane,"平凡的; 世俗的",adjective,"The mundane chores still mattered.",gre;starter
